,index,dissatisfaction_reason,Quarter,Submitted date,"What was the main purpose of your visit today? Please choose one option only. The list represents broad categories, and you may be asked to further specify the main reason why you visited today.",Approximately how often do you visit My Account?,Overall how satisfied were you with today's experience?,Which option did you choose to login to My Account?,Did/do you need to call the CRA to complete your visit/transaction today?,Are you:,I live in...,What is the highest level of education you have completed?,Would you be willing to indicate in which of the following age categories you belong?,What language do you speak most often at home?,Which of the following categories best describes your current employment status?,"Which of the following categories best represents your most recent annual household income, before taxes?",Are you an Aboriginal person?,Are you a person with a disability?,Are you a member of a visible minority group?,From what type of device did you access My Account today?,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text,Topic_final,Second_Topic,Third_Topic
614,9643,"Searching for t-4s and T-5s etc, need option of  ""all"" docs for a year and not go out and select the year and doc typ many times.The ""previous"" button doesn't go to previous screen- unnecessary steps.",Q4,3/31/2018,Tax returns,Once every 2 to 3 months,Somewhat dissatisfied,,No,Female,Ontario,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Desktop or laptop computer,5.0,0.4668999910354614,"find, tax, change, return, mail, try, month, send, need, year","['search', 'etc', 'need', 'option', 'docs', 'year', 'select', 'year', 'doc', 'typ', 'times', 'previous', 'button', 'previous', 'screen', 'unnecessary', 'step']",5.0,3.0,10.0
615,9648,unbelievable amount of time for CRA to process information received,Q4,3/31/2018,Tax returns,Once per month or more,Very dissatisfied,,Yes,Female,Ontario,Post-graduate degree,55 to 64,English,Working full-time (35+ hours per week),"$100,000 to under $120,000",Yes,No,No,Desktop or laptop computer,13.0,0.2143000066280365,"time, say, log, page, error, assessment, ask, work, add, thing","['unbelievable', 'time', 'process', 'information', 'receive']",13.0,3.0,4.0
616,9672,It's march 31 and some tslips were not available,Q4,3/31/2018,Tax returns,Once every 2 to 3 months,Somewhat dissatisfied,,Yes,Prefer not to say,Alberta,Prefer not to say,65 or older,English,Working part-time (less than 35 hours per week),Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Tablet,4.0,0.5178999900817871,"information, account, date, look, available, access, wait, tell, instalment, get","['march', 'slip', 'available']",4.0,8.0,0.0
617,9690,I want to set up direct payment from my bank account and I need a CRA account number. Cant find it nor explained where to find it. Is it my SIN number?,Q4,3/31/2018,Accounts and payments,Once or twice per year,Somewhat dissatisfied,,No,Male,British Columbia,University graduate,65 or older,English,Retired,"$120,000 and over",No,No,No,Tablet,4.0,0.3131999969482422,"information, account, date, look, available, access, wait, tell, instalment, get","['set', 'direct', 'payment', 'bank', 'account', 'need', 'account', 'number', 'find', 'explain', 'find', 'sin', 'number']",4.0,5.0,8.0
618,9702,The site is fine but why hasn't my 2016 tax return been looked after yet??,Q4,3/31/2018,Tax returns,Once per month or more,Very dissatisfied,,No,Female,Manitoba,University graduate,55 to 64,English,Working full-time (35+ hours per week),"$120,000 and over",No,No,No,Desktop or laptop computer,5.0,0.41429999470710754,"find, tax, change, return, mail, try, month, send, need, year","['site', 'fine', 'tax', 'return', 'look']",5.0,3.0,4.0
619,9709,"I want to know if I am getting money back, if so, how much.",Q4,3/31/2018,Tax returns,Once or twice per year,Somewhat dissatisfied,,No,Female,Ontario,High school graduate,35 to 49,English,Working full-time (35+ hours per week),"$20,000 to under $40,000",Yes,No,Prefer not to say,Desktop or laptop computer,4.0,0.2678999900817871,"information, account, date, look, available, access, wait, tell, instalment, get","['know', 'get', 'money']",4.0,8.0,5.0
620,9712,Could not display account balance. Gave error code and suggested I call to talk to someone.,Q4,3/31/2018,Accounts and payments,Once every 2 to 3 months,Very dissatisfied,,Yes,Male,British Columbia,Post-graduate degree,35 to 49,English,Working full-time (35+ hours per week),"$120,000 and over",No,No,No,Desktop or laptop computer,8.0,0.58160001039505,"update, payment, pay, online, credit, want, balance, check, owe, show","['display', 'account', 'balance', 'give', 'error_code', 'suggested', 'talk']",8.0,13.0,4.0
621,9757,"I have been waiting since August 2017 for my reassessments to be done. You told me they would be done by December. Then you told me  by February 9, Then you told me March 31. What a load of crap.",Q1,4/1/2018,Tax returns,Once per month or more,Very dissatisfied,,Yes,Male,Ontario,High school graduate,50 to 54,English,Retired,"Under $20,000",No,Yes,No,Desktop or laptop computer,4.0,0.6341999769210815,"information, account, date, look, available, access, wait, tell, instalment, get","['wait', 'august', 'reassessment', 'tell', 'december', 'tell', 'february', 'tell', 'march', 'load', 'crap']",4.0,3.0,8.0
622,9781,I need the RC62 to submit my tax return.  It is meant to be available by the last day of March.  Today is 1 April and I couldn't find it online.,Q1,4/1/2018,Online mail,Once or twice per year,Very dissatisfied,,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,5.0,0.46700000762939453,"find, tax, change, return, mail, try, month, send, need, year","['need', 'rcd', 'submit', 'tax', 'return', 'mean', 'available', 'day', 'march', 'today', 'april', 'find', 'online']",5.0,13.0,8.0
623,9788,"Because my tax return has a lot of notice and reassessment, and we provide many documents, I want to find the latest final tax return, but current one is out of date.",Q1,4/1/2018,Tax returns,Once or twice per year,Very dissatisfied,,No,Female,Ontario,University graduate,35 to 49,Other,Working full-time (35+ hours per week),"$60,000 to under $80,000",No,No,Yes,Desktop or laptop computer,5.0,0.3930000066757202,"find, tax, change, return, mail, try, month, send, need, year","['tax', 'return', 'lot', 'notice', 'reassessment', 'provide', 'document', 'find', 'late', 'final', 'tax', 'return', 'current', 'date']",5.0,3.0,4.0
624,9823,Trying to change filed return with notice of assessment issued but I am prevented from doing so because it is saying it cannot be done until notice of assessment issued. Really!,Q1,4/1/2018,Tax returns,Once or twice per year,Very dissatisfied,,Yes,Male,Saskatchewan,University graduate,65 or older,English,Working full-time (35+ hours per week),"$120,000 and over",No,No,No,Desktop or laptop computer,5.0,0.4065000116825104,"find, tax, change, return, mail, try, month, send, need, year","['try', 'change', 'file', 'return', 'notice_assessment', 'issue', 'prevent', 'say', 'notice_assessment', 'issue']",5.0,13.0,0.0
625,9830,"I have been waiting for my ""direct deposit "" for my 2016 tax return to be deposited into my account for a year now and I checked my bank but still no deposit you have my correct info where is my CASH?",Q1,4/1/2018,Tax returns,Once or twice per year,Very dissatisfied,,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,5.0,0.6208999752998352,"find, tax, change, return, mail, try, month, send, need, year","['wait', 'direct_deposit', 'tax', 'return', 'deposit', 'account', 'year', 'check', 'bank', 'deposit', 'correct', 'information', 'cash']",5.0,4.0,8.0
626,9838,I was unable to fill out and submit a document as I was led to believe I could in a letter I received in the mail.,Q1,4/1/2018,Benefits and tax credits information,Once every 2 to 3 months,Very dissatisfied,,Yes,Female,Ontario,University graduate,18 to 34,English,Working full-time (35+ hours per week),"$80,000 to under $100,000",No,No,No,Desktop or laptop computer,5.0,0.5814999938011169,"find, tax, change, return, mail, try, month, send, need, year","['unable', 'fill', 'submit_document', 'lead', 'believe', 'letter', 'receive', 'mail']",5.0,3.0,0.0
627,9869,My E-filed tax return has still not been processed. Adjustments to my OTB have not been completed.,Q1,4/2/2018,Tax returns,Once per month or more,Somewhat dissatisfied,,Prefer not to say,Male,Ontario,College/vocational/technical school,55 to 64,English,Other,"$20,000 to under $40,000",No,Yes,No,Desktop or laptop computer,5.0,0.7246000170707703,"find, tax, change, return, mail, try, month, send, need, year","['file', 'tax', 'return', 'process', 'adjustment', 'orb', 'complete']",5.0,8.0,0.0
628,9890,It is not clearly laid out,Q1,4/2/2018,Tax returns,Once or twice per year,Somewhat dissatisfied,,No,Male,British Columbia,College/vocational/technical school,35 to 49,English,Working full-time (35+ hours per week),"$80,000 to under $100,000",No,No,No,Tablet,1.0,0.0714000016450882,"mind, answer_question, user_friendly, repeat, browser, value, mac, multiple, content, misspelling","['clearly', 'lay']",99.0,2.0,6.0
629,9900,"sometimes when I log try to log in and pass all my security questions, it shows as an ""ERROR"" , I retry a few times before it works",Q1,4/2/2018,Tax returns,Once per month or more,Somewhat dissatisfied,,No,Prefer not to say,Alberta,University graduate,18 to 34,English,Prefer not to say,Prefer not to say,No,No,Prefer not to say,Desktop or laptop computer,13.0,0.5091999769210815,"time, say, log, page, error, assessment, ask, work, add, thing","['log', 'try', 'log', 'pass', 'security_questions', 'show', 'error', 'retry', 'times', 'work']",13.0,5.0,8.0
630,9972,Don't know why i paid back over 6000$ on my 2016 tax return in two instalments,Q1,4/2/2018,Accounts and payments,Once per month or more,Very dissatisfied,,No,Male,Ontario,University graduate,35 to 49,English,Working full-time (35+ hours per week),"$80,000 to under $100,000",No,No,No,Desktop or laptop computer,5.0,0.511900007724762,"find, tax, change, return, mail, try, month, send, need, year","['know', 'pay', 'tax', 'return', 'instalment']",5.0,8.0,4.0
631,9973,cra is toslow at processing ANYTHING AND EVERYTHING!!!!!,Q1,4/2/2018,Tax returns,Once per month or more,Very dissatisfied,,Yes,Female,Saskatchewan,Post-graduate degree,55 to 64,English,Working full-time (35+ hours per week),"$60,000 to under $80,000",No,Yes,No,Desktop or laptop computer,3.0,0.3571999967098236,"receive, document, site, submit, reassessment, login, email, go, option, letter","['follow', 'processing']",3.0,5.0,0.0
632,9976,The site took far too long to load pages. It took dozens of seconds per page load.,Q1,4/3/2018,Tax returns,Once every 2 to 3 months,Somewhat dissatisfied,,No,Male,British Columbia,University graduate,35 to 49,English,"Unemployed, but looking for work",Prefer not to say,No,No,No,Desktop or laptop computer,13.0,0.34130001068115234,"time, say, log, page, error, assessment, ask, work, add, thing","['site', 'take', 'far', 'long', 'load', 'page', 'take', 'dozen', 'second', 'page', 'load']",13.0,5.0,3.0
633,10006,Poor layout of site,Q1,4/3/2018,Accounts and payments,Once or twice per year,Somewhat dissatisfied,,Yes,Male,Nova Scotia,College/vocational/technical school,35 to 49,English,Working full-time (35+ hours per week),"$100,000 to under $120,000",Yes,No,Yes,Smartphone,3.0,0.690500020980835,"receive, document, site, submit, reassessment, login, email, go, option, letter","['poor', 'layout', 'site']",3.0,1.0,2.0
634,10055,T1 processing review letter is not in my mail online and wasn't sent to my home - had no way of knowing why my OTB notice had an amount due unless I called in,Q1,4/3/2018,Online mail,Once or twice per year,Somewhat dissatisfied,,Yes,Male,Ontario,College/vocational/technical school,65 or older,Other,Retired,"$20,000 to under $40,000",No,No,No,Desktop or laptop computer,5.0,0.3700999915599823,"find, tax, change, return, mail, try, month, send, need, year","['processing', 'review', 'letter', 'mail', 'online', 'send', 'home', 'way', 'know', 'orb', 'notice', 'call']",5.0,3.0,8.0
635,10084,My tax return was filed a month ago and yet it is still not processed. I was told 2 weeks max and there is no information as to why,Q1,4/3/2018,Tax returns,Once per month or more,Very dissatisfied,,Yes,Male,Ontario,High school graduate,18 to 34,English,Self-employed,"$40,000 to under $60,000",Yes,No,No,Smartphone,5.0,0.5634999871253967,"find, tax, change, return, mail, try, month, send, need, year","['tax', 'return', 'file', 'month_ago', 'process', 'tell', 'week', 'max', 'information']",5.0,4.0,8.0
636,10114,It said I had one unread message but when I went into mail there was no unread message,Q1,4/4/2018,Tax returns,Once or twice per year,Somewhat dissatisfied,,No,Female,Alberta,University graduate,18 to 34,English,Working full-time (35+ hours per week),Prefer not to say,No,No,No,Smartphone,4.0,0.3452000021934509,"information, account, date, look, available, access, wait, tell, instalment, get","['say', 'unread', 'message', 'go', 'mail', 'unread', 'message']",4.0,13.0,3.0
637,10136,re-assessment re the Seniors Property Tax credit adjustment not processed yet.,Q1,4/4/2018,Benefits and tax credits information,Once per month or more,Somewhat dissatisfied,,No,Female,Ontario,College/vocational/technical school,65 or older,English,Retired,"$20,000 to under $40,000",No,No,No,Desktop or laptop computer,8.0,0.3452000021934509,"update, payment, pay, online, credit, want, balance, check, owe, show","['assessment', 'senior', 'property', 'tax', 'credit', 'adjustment', 'process']",8.0,5.0,13.0
638,10172,coudn't figure out how to access my PDF version of NOA so I could save it to my computer.,Q1,4/4/2018,Accounts and payments,Once or twice per year,Somewhat dissatisfied,,No,Female,Alberta,University graduate,65 or older,English,Working part-time (less than 35 hours per week),"$60,000 to under $80,000",No,No,No,Desktop or laptop computer,10.0,0.21490000188350677,"agent, navigate, cumbersome, search, confusing, totally, suppose, computer, que, path","['could', 'not', 'figure', 'access', 'pdf_version', 'notice_assessment', 'save', 'computer']",10.0,13.0,4.0
639,10230,cant get the info I wanted,Q1,4/4/2018,Tax returns,Once or twice per year,Somewhat dissatisfied,,No,Male,British Columbia,Prefer not to say,55 to 64,English,Retired,Prefer not to say,No,Yes,No,Desktop or laptop computer,4.0,0.3571000099182129,"information, account, date, look, available, access, wait, tell, instalment, get","['information', 'want']",4.0,8.0,0.0
